word,condition,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,participant_response.keys,participant_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
bmbNPE,1,,,,,,,,,0,14,14,34,k,0.3579530001152307,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
vAarkd,0,,,,,,,,,0,15,15,0,d,0.42143780016340315,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EPERdB,0,,,,,,,,,0,16,16,17,k,0.39899110002443194,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
lCbcmY,0,,,,,,,,,0,17,17,12,d,0.5499998000450432,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
vAarDl,1,,,,,,,,,0,18,18,30,d,6.2333955001086,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
mBYlPE,0,,,,,,,,,0,19,19,18,k,0.35644720029085875,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
aYQmBb,1,,,,,,,,,0,20,20,37,d,0.221501300111413,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LOLkUk,0,,,,,,,,,0,21,21,9,k,0.2907177002634853,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
UAcduP,1,,,,,,,,,0,22,22,38,k,0.25918100005947053,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
TAdhMY,1,,,,,,,,,0,23,23,24,d,0.3269026002380997,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
QcladA,1,,,,,,,,,0,24,24,35,k,0.19600830017589033,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
UAcduY,0,,,,,,,,,0,25,25,8,d,0.40777280018664896,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EYtYRl,1,,,,,,,,,0,26,26,26,k,0.2518514001276344,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EhRmkd,1,,,,,,,,,0,27,27,20,d,0.3155050999484956,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
LckGNl,0,,,,,,,,,0,28,28,6,k,0.40998750017024577,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
aYQmJU,0,,,,,,,,,0,29,29,7,d,0.5629554002080113,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
QcladY,0,,,,,,,,,0,30,30,5,k,0.5574337001889944,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
hAROKY,1,,,,,,,,,0,31,31,25,d,0.6925386001821607,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
dJNrYL,0,,,,,,,,,0,32,32,1,k,0.47561610024422407,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
hAROKA,0,,,,,,,,,0,33,33,15,d,0.46495330007746816,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
bmbNYA,0,,,,,,,,,0,34,34,4,k,0.7612657002173364,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
EhRmDl,0,,,,,,,,,0,35,35,10,d,0.4322214999701828,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
TAdhMP,0,,,,,,,,,0,36,36,14,k,0.24263059999793768,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
laYmrl,0,,,,,,,,,0,37,37,2,d,0.5514957001432776,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
CmcODl,0,,,,,,,,,0,38,38,19,k,1.9436846000608057,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
tmAKBb,0,,,,,,,,,0,39,39,13,k,0.30801150016486645,490252,001,2023-03-09_16h57.31.668,PsychoPy Retry,2022.2.5,60.19715774663928,
